uid,my_label,ambiguous,reason
r1_0,not,1,riparian scrub/grass on gravel bar; meta 4.35m; no tree crowns (high-NDVI low veg)
r1_1,canopy,0,dense tree canopy fills the cell
r1_2,canopy,0,large tree crown + grass ~45% canopy
r1_3,canopy,0,cluster of dense tree crowns between house and golf
r1_4,canopy,0,dense dark-green tree canopy over whole cell
r1_5,canopy,0,dense tree crowns around pale-crown center; meta 5.1m
r1_6,not,0,uniform dense low veg / grass slope; meta 0; no crowns (high-NDVI grass)
r1_7,canopy,0,dense tree crowns lining creek
r1_8,canopy,0,forest edge; left ~half dense trees
r1_9,canopy,0,closed forest canopy; meta 16m
r1_10,not,0,grassy vacant lot; sparse small trees <25%
r1_11,not,1,dry lawn center; tree crowns only at edges ~20%
r1_12,not,0,dry grass field + structure; one edge tree <15% (high-NDVI from green edge)
r1_13,canopy,0,dense tree crowns by construction; meta 11m (NDVI 0.619 just misses)
r1_14,not,0,grassy cul-de-sac lot; small tree at edge
r1_15,canopy,0,dense tree crowns among houses ~65%
r1_16,canopy,0,large dark tree crown ~40% of cell
r1_17,not,0,dense rooftops / road
r1_18,not,0,road + grass median strip
r1_19,not,0,road bend/clearing center; trees only at bottom edge
r1_20,not,0,rooftops / built
r1_21,not,0,bare dirt yard between houses
r1_22,not,0,built / rooftops
r1_23,not,0,dense rooftops
r1_24,not,0,bare ground / road
r1_25,not,0,dense rooftops; one small tree
r1_26,not,0,industrial bare concrete + water
r1_27,not,0,warehouse white roof
r1_28,not,0,industrial roof / parking
r1_29,not,0,construction bare ground
r1_30,not,0,industrial container yard; bare
r1_31,not,0,highway / paved median
r1_32,canopy,1,trees among houses ~30%; meta 0 (best-guess canopy)
r1_33,canopy,0,tree crowns among houses ~40%
r1_34,not,1,grass/dirt lot; trees at right edge ~20%
r1_35,canopy,1,diagonal tree/shrub line ~25-30%; meta 0.04m
r1_36,not,0,dry grass / bare lot; sparse
r1_37,canopy,0,tree crowns ring dirt center ~40%; meta 6.1m
r1_38,not,0,open water
r1_39,not,0,open water
r1_40,not,0,dry grassland / hillside; no trees
r1_41,not,0,open water (Manila Bay)
r2_0,not,0,crop/grass field with sparse dots
r2_1,not,0,bare lot; trees only outside box
r2_2,not,0,rooftops + road
r2_3,not,0,industrial paved yard
r2_4,not,1,cemetery graves + grass; trees <25%
r2_5,not,0,bare/paved; edge trees <25%
r2_6,canopy,0,tree crowns among houses ~50%
r2_7,canopy,1,driveway framed by tree crowns ~30%
r2_8,canopy,0,tree/shrub cluster ~45%
r2_9,not,1,grass/scrub; sparse bushes
r2_10,not,0,paved industrial/marina
r2_11,not,1,grass lot + rooftops
r2_12,canopy,1,tree crown among roofs ~30%
r2_13,not,1,bare lot; edge trees ~20%
r2_14,canopy,1,trees ~30% around roof
r2_15,not,0,grass/scrub; high NDVI no crowns
r2_16,canopy,0,dense canopy; meta 10.5
r2_17,canopy,0,closed canopy; meta 4.2
r2_18,canopy,1,trees ~30%; meta 5.3
r2_19,not,0,grass field; edge tree only
r2_20,not,0,rooftops; green <25%
r2_21,canopy,1,tree crown ~30% among roofs
r2_22,canopy,0,forest canopy; meta 9.1
r2_23,canopy,1,forest ring; meta 13.4 (brown center)
r2_24,canopy,0,dense canopy; meta 11.4
r2_25,not,0,grass/scrub field; high NDVI
r2_26,not,1,dense scrub/bare slope edge
r2_27,canopy,0,trees; meta 7.85
r2_28,canopy,1,trees ~30% + structure
r2_29,canopy,1,riparian tree crowns ~30%
r2_30,not,0,industrial roofs/bare
r2_31,not,0,grass/scrub by water
r2_32,not,1,road/yard; edge trees ~20%
r2_33,canopy,0,tree/shrub cluster ~50%
r2_34,not,0,dry grass/reeds (salmon)
r2_35,not,0,bright lawn/grass
r2_36,canopy,1,tree canopy top ~30% + pond
r2_37,not,0,structures/courts + grass
r3_0,not,0,row of colorful house roofs
r3_1,not,0,bare/sandy lot; sparse small bushes
r3_2,canopy,0,dense tree canopy ~60%
r3_3,not,0,plowed/bare dry field
r3_4,canopy,0,dense tree canopy fills box
r3_5,not,0,houses + grass + teal roof
r3_6,not,0,blue-roof court + bare ground
r3_7,canopy,0,tree canopy ~50% between buildings
r3_8,canopy,1,trees left half ~40% + road
r3_9,not,0,plowed/furrowed dry field
r3_10,canopy,1,dense tree/shrub cluster ~50%
r3_11,canopy,1,tree canopy ~40% + road
r3_12,canopy,0,tree canopy ~50% among houses
