barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Barangay 657,Manila,32.9,13.698,6.343,0.697,0.04877,4.877,3.98,6.34,0.4203,292.7
Barangay 186,Pasay,3.7,4.974,3.447,0.154,0.04284,4.284,0.69,6.29,0.6299,91.2
Barangay 174,Manila,2.6,1.755,0.952,0.1226,0.04274,4.274,2.36,7.41,0.7218,401.8
Jesus Dela Peña,Marikina,97.5,9.113,10.619,-0.2061,0.03671,3.671,4.86,11.12,0.6243,164.8
Santa Ana,Taguig,211.1,11.17,6.317,0.0906,0.03157,3.157,1.18,2.99,0.2911,402.3
Barangay 139,Manila,3.2,1.225,0.314,0.2691,0.02897,2.897,1.9,6.39,0.7013,89.3
Malanday,Marikina,151.7,7.999,6.2,0.1361,0.02823,2.823,6.74,14.15,0.7004,366.0
Carmona,Makati,35.9,6.586,4.985,-0.0829,0.0252,2.52,3.0,6.43,0.6379,296.8
Barangay 43,Caloocan,3.6,2.964,2.903,-0.1394,0.02443,2.443,1.33,8.34,0.7313,833.0
Tumana,Marikina,162.6,9.344,6.948,0.2208,0.02432,2.432,7.26,14.1,0.5613,330.8
Barangay 103,Caloocan,7.0,1.431,1.334,0.1334,0.02404,2.404,3.52,21.87,0.7304,2386.5
Napindan,Taguig,216.7,6.732,5.956,0.116,0.02207,2.207,2.76,3.83,0.4424,327.1
Malanday,Valenzuela,233.5,12.448,7.583,0.0317,0.02145,2.145,0.89,3.53,0.4315,364.1
Kalawaan,Pasig,106.3,6.724,6.089,0.1475,0.02137,2.137,2.59,5.28,0.5008,239.8
Barangay 49,Pasay,3.6,3.538,6.118,0.0121,0.021,2.1,0.34,7.82,0.7247,1030.7
Barangay 173,Manila,3.1,2.053,0.803,0.1171,0.01996,1.996,2.27,7.36,0.7347,329.5
Barangay 33,Pasay,7.5,6.951,5.861,0.4301,0.01883,1.883,2.34,8.92,0.705,282.1
Barangay 39,Pasay,4.9,5.247,2.986,0.5533,0.01801,1.801,1.59,9.09,0.7429,818.3
Barangay 183,Pasay,629.4,6.746,5.29,0.0462,0.01646,1.646,4.4,12.68,0.445,486.8
Barangay 876,Manila,3.4,8.164,10.142,0.0428,0.01638,1.638,6.14,6.24,0.6244,100.8
Barangay 44,Pasay,5.8,2.298,5.471,-0.1438,0.01506,1.506,1.9,8.38,0.7237,600.6
Manuyo Uno,Las Pinas,42.2,9.962,6.568,0.6817,0.0149,1.49,4.24,6.02,0.621,234.8
Barangay 128,Manila,109.3,2.688,1.904,0.106,0.01477,1.477,0.83,0.88,0.5071,75.6
West Rembo,Taguig,62.1,7.958,6.319,0.1488,0.01472,1.472,10.28,12.94,0.6261,203.2
Maybunga,Pasig,158.0,10.613,9.102,0.3156,0.01291,1.291,1.74,6.2,0.6348,513.3
Barangay 161,Caloocan,51.3,10.118,7.525,-0.581,0.01191,1.191,11.49,18.32,0.579,1967.9
Barangay 656,Manila,31.2,4.35,5.677,-0.0901,0.01031,1.031,6.3,6.62,0.465,118.0
Santolan,Pasig,203.3,6.152,5.244,0.2192,0.01001,1.001,2.54,11.88,0.6721,413.8
Santo Niño,Paranaque,260.0,5.688,2.283,0.368,0.00962,0.962,2.88,6.39,0.4849,255.4
San Jose,Pasig,9.2,9.37,6.532,0.2264,0.0095,0.95,1.88,7.68,0.6526,191.7
Barangka Ilaya,Mandaluyong,48.3,7.647,4.177,0.5152,0.00935,0.935,13.94,24.62,0.6594,166.1
Barangay 9,Caloocan,9.8,6.589,5.373,0.0958,0.00931,0.931,8.11,16.07,0.6357,1543.7
La Huerta,Paranaque,79.5,6.472,2.591,0.6498,0.00928,0.928,3.21,4.54,0.6371,272.9
Nangka,Marikina,173.8,9.312,7.057,0.3142,0.00896,0.896,3.73,16.25,0.6808,644.7
Dela Paz,Pasig,102.2,5.509,4.048,0.333,0.00878,0.878,1.01,12.53,0.7106,971.6
Barangay 197,Pasay,8.5,7.959,6.359,0.2842,0.00851,0.851,0.61,7.62,0.7027,521.2
Wack-Wack Greenhills,Mandaluyong,289.9,17.698,13.151,-0.0617,0.00811,0.811,6.47,37.45,0.4777,513.5
Kaunlaran,Quezon City,55.5,8.241,8.18,-0.1743,0.00806,0.806,6.97,37.87,0.7271,436.9
Barangay 34,Pasay,3.7,4.049,9.569,-0.425,0.0078,0.78,2.51,8.91,0.6867,416.9
Lawang Bato,Valenzuela,275.7,8.778,4.412,0.2585,0.00761,0.761,5.08,22.56,0.6387,2535.8
