barangay_name,lgu_name,total_ha,canopy_pct_v6_2019,canopy_pct_v6_2020,canopy_pct_v6_2021,canopy_pct_v6_2022,canopy_pct_v6_2023,canopy_pct_v6_2024,canopy_pct_v6_2025,canopy_pct_v6_2026,canopy_ha_v6_2019,canopy_ha_v6_2020,canopy_ha_v6_2021,canopy_ha_v6_2022,canopy_ha_v6_2023,canopy_ha_v6_2024,canopy_ha_v6_2025,canopy_ha_v6_2026
BF Homes Caloocan,Caloocan,62.1,9.401,9.764,10.084,8.906,10.988,8.971,12.757,9.29,5.8,6.1,6.3,5.5,6.8,5.6,7.9,5.8
Bagbaguin,Caloocan,92.0,5.061,5.138,5.967,4.812,5.545,4.403,7.835,2.921,4.7,4.7,5.5,4.4,5.1,4.0,7.2,2.7
Bagumbong,Caloocan,588.8,12.031,10.806,14.14,12.772,13.393,10.108,11.278,10.005,70.8,63.6,83.2,75.2,78.9,59.5,66.4,58.9
Barangay 1,Caloocan,4.1,3.467,5.883,5.405,4.241,4.766,6.606,5.809,4.841,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2
Barangay 10,Caloocan,3.8,3.354,6.071,4.108,3.401,4.992,3.823,4.564,4.769,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2
Barangay 100,Caloocan,4.4,4.219,6.269,4.012,5.096,3.697,6.155,6.953,4.652,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2
Barangay 101,Caloocan,11.4,2.935,3.287,1.307,2.347,1.583,2.602,3.597,3.104,0.3,0.4,0.1,0.3,0.2,0.3,0.4,0.4
Barangay 102,Caloocan,2.4,0.552,2.982,0.12,0.869,0.723,3.17,2.482,2.347,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1
Barangay 103,Caloocan,7.0,1.334,2.411,1.641,1.173,1.336,2.013,1.431,3.452,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2
Barangay 104,Caloocan,7.5,0.273,3.0,1.721,0.957,1.254,2.505,0.944,3.226,0.0,0.2,0.1,0.1,0.1,0.2,0.1,0.2
Barangay 105,Caloocan,8.4,0.036,2.79,0.282,0.679,0.804,1.005,0.485,4.198,0.0,0.2,0.0,0.1,0.1,0.1,0.0,0.4
Barangay 106,Caloocan,5.7,1.137,4.254,0.757,1.102,0.249,3.751,1.635,4.471,0.1,0.2,0.0,0.1,0.0,0.2,0.1,0.3
Barangay 107,Caloocan,4.8,0.907,3.741,0.725,0.78,0.517,3.031,1.354,4.09,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.2
Barangay 108,Caloocan,4.9,0.031,2.05,0.541,0.635,0.534,1.456,0.862,2.798,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1
Barangay 109,Caloocan,7.0,0.262,3.782,1.841,1.385,1.353,3.658,1.516,4.194,0.0,0.3,0.1,0.1,0.1,0.3,0.1,0.3
Barangay 11,Caloocan,4.2,0.471,2.176,2.187,0.859,0.267,0.824,0.154,2.352,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
Barangay 110,Caloocan,2.5,3.043,2.406,1.96,2.716,0.254,1.8,0.236,1.546,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Barangay 111,Caloocan,2.5,2.626,2.261,1.987,2.046,0.258,1.365,0.419,0.776,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Barangay 112,Caloocan,2.4,0.032,3.051,1.275,0.444,0.47,0.221,0.786,0.649,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 113,Caloocan,2.4,2.678,2.476,1.439,2.146,0.536,0.709,0.102,1.277,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Barangay 114,Caloocan,1.6,3.162,2.037,1.539,2.398,0.514,0.893,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 115,Caloocan,1.4,2.135,2.451,1.367,0.899,0.236,0.732,0.897,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 116,Caloocan,2.6,3.036,2.617,1.168,0.0,0.137,1.269,2.338,1.893,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0
Barangay 117,Caloocan,3.2,0.408,3.158,0.433,0.325,1.225,0.323,0.185,2.318,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Barangay 118,Caloocan,36.6,7.964,9.791,8.37,6.461,6.364,7.769,9.561,5.648,2.9,3.6,3.1,2.4,2.3,2.8,3.5,2.1
Barangay 119,Caloocan,4.1,0.253,1.036,1.414,2.07,0.609,0.705,1.348,2.66,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1
Barangay 12,Caloocan,31.8,1.13,2.021,2.647,1.422,1.561,1.606,0.73,1.898,0.4,0.6,0.8,0.5,0.5,0.5,0.2,0.6
Barangay 120,Caloocan,6.0,1.519,2.629,2.667,2.591,3.056,3.942,2.752,3.885,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Barangay 121,Caloocan,5.1,2.263,4.998,3.05,1.31,2.917,1.045,0.126,0.311,0.1,0.3,0.2,0.1,0.1,0.1,0.0,0.0
Barangay 122,Caloocan,5.1,0.0,1.965,0.0,0.755,0.021,1.316,0.276,0.117,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
Barangay 123,Caloocan,2.2,4.637,7.209,6.304,3.42,3.107,2.36,1.935,2.378,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.1
Barangay 124,Caloocan,3.2,3.372,6.085,5.289,3.454,2.404,2.66,1.862,1.729,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Barangay 125,Caloocan,3.0,0.703,2.783,1.745,1.608,0.448,1.966,1.422,0.366,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0
Barangay 126,Caloocan,3.9,1.334,2.222,3.212,2.729,0.648,3.275,3.204,0.841,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0
Barangay 127,Caloocan,4.3,1.927,2.476,3.837,4.721,1.469,3.559,7.401,3.111,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.1
Barangay 128,Caloocan,4.0,2.223,5.828,3.33,0.986,2.0,3.062,5.888,3.459,0.1,0.2,0.1,0.0,0.1,0.1,0.2,0.1
Barangay 129,Caloocan,2.3,3.267,8.542,5.362,1.205,3.318,4.861,5.892,3.175,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.1
Barangay 13,Caloocan,3.8,1.003,1.835,3.41,1.111,0.665,1.842,1.594,5.962,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.2
Barangay 130,Caloocan,2.8,1.787,4.532,6.397,3.947,4.485,5.299,2.77,4.196,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Barangay 131,Caloocan,4.7,0.0,0.024,0.0,0.093,2.242,0.0,0.407,0.793,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Barangay 132,Caloocan,5.2,0.559,1.355,2.525,0.635,0.43,2.088,0.999,2.016,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1
Barangay 133,Caloocan,3.4,0.494,1.186,1.76,0.628,0.239,1.457,1.36,2.342,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Barangay 134,Caloocan,8.9,4.107,2.11,3.675,1.443,0.16,1.372,2.186,2.927,0.4,0.2,0.3,0.1,0.0,0.1,0.2,0.3
Barangay 135,Caloocan,7.6,3.716,2.337,3.742,1.971,0.432,1.818,2.253,3.3,0.3,0.2,0.3,0.1,0.0,0.1,0.2,0.3
Barangay 136,Caloocan,9.2,1.136,3.847,2.028,0.0,0.326,1.955,1.367,1.868,0.1,0.4,0.2,0.0,0.0,0.2,0.1,0.2
Barangay 137,Caloocan,8.4,4.198,3.251,4.693,2.879,0.679,3.501,3.559,4.311,0.4,0.3,0.4,0.2,0.1,0.3,0.3,0.4
Barangay 138,Caloocan,8.3,1.525,2.673,2.07,1.537,0.443,1.717,2.26,0.98,0.1,0.2,0.2,0.1,0.0,0.1,0.2,0.1
Barangay 139,Caloocan,8.4,1.528,3.039,3.042,3.506,0.912,2.782,3.008,1.346,0.1,0.3,0.3,0.3,0.1,0.2,0.3,0.1
Barangay 14,Caloocan,28.0,1.006,1.909,1.504,1.626,1.201,1.345,1.452,3.226,0.3,0.5,0.4,0.5,0.3,0.4,0.4,0.9
Barangay 140,Caloocan,5.8,2.676,1.806,0.822,2.91,1.577,3.838,5.353,2.863,0.2,0.1,0.0,0.2,0.1,0.2,0.3,0.2
Barangay 141,Caloocan,5.9,0.878,0.829,0.904,1.961,0.443,2.833,3.058,1.154,0.1,0.0,0.1,0.1,0.0,0.2,0.2,0.1
Barangay 142,Caloocan,2.7,0.0,0.258,0.935,0.0,0.0,1.023,0.083,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 143,Caloocan,2.4,0.0,0.392,0.0,0.0,0.444,0.647,1.91,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 144,Caloocan,3.1,0.639,0.708,0.0,0.748,0.626,1.308,2.193,1.095,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Barangay 145,Caloocan,3.0,0.0,0.111,0.0,0.039,0.032,0.306,0.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 146,Caloocan,2.5,0.198,1.613,0.046,0.232,0.139,1.033,0.485,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
