barangay_name,lgu_name,total_ha,canopy_pct_model_2019,canopy_pct_model_2020,canopy_pct_model_2021,canopy_pct_model_2022,canopy_pct_model_2023,canopy_pct_model_2024,canopy_pct_model_2025,canopy_pct_model_2026,canopy_ha_model_2019,canopy_ha_model_2020,canopy_ha_model_2021,canopy_ha_model_2022,canopy_ha_model_2023,canopy_ha_model_2024,canopy_ha_model_2025,canopy_ha_model_2026
BF Homes Caloocan,Caloocan,62.1,15.708,19.355,21.879,21.459,21.739,16.41,22.02,15.849,9.8,12.0,13.6,13.3,13.5,10.2,13.7,9.8
Bagbaguin,Caloocan,91.6,5.418,7.985,9.411,5.323,6.654,4.377,7.612,3.612,5.0,7.3,8.6,4.9,6.1,4.0,7.0,3.3
Bagumbong,Caloocan,588.8,23.388,26.095,29.734,28.802,27.115,19.512,25.074,20.0,137.7,153.6,175.1,169.6,159.6,114.9,147.6,117.8
Barangay 1,Caloocan,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 10,Caloocan,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 100,Caloocan,4.4,4.0,4.0,4.0,6.0,6.0,6.0,8.0,6.0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Barangay 101,Caloocan,11.4,0.0,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 102,Caloocan,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 103,Caloocan,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Barangay 104,Caloocan,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barangay 105,Caloocan,8.4,0.0,0.0,0.0,1.042,0.0,1.042,1.042,1.042,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Barangay 106,Caloocan,5.7,3.03,4.545,4.545,3.03,4.545,4.545,4.545,4.545,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3
Barangay 107,Caloocan,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
