lgu_name,year,canopy_ha,canopy_pct,total_ha,hansen_loss_ha_cumulative,esa_tree_pct_2021
Caloocan,2019,834.57,15.78,5287.38,16.78,23.62
Caloocan,2020,912.26,17.25,5287.03,16.78,23.62
Caloocan,2021,968.23,18.31,5287.38,17.22,23.62
Caloocan,2022,958.2,18.12,5286.94,17.22,23.62
Caloocan,2023,919.44,17.39,5287.38,18.77,23.62
Caloocan,2024,775.57,14.67,5287.12,19.55,23.62
Caloocan,2025,878.26,16.62,5285.91,19.55,23.62
Caloocan,2026,759.31,14.36,5286.43,19.55,23.62
Las Pinas,2019,264.38,7.32,3610.71,12.72,11.92
Las Pinas,2020,280.04,7.76,3610.71,12.72,11.92
Las Pinas,2021,307.11,8.5,3611.05,12.72,11.92
Las Pinas,2022,319.14,8.84,3610.45,12.72,11.92
Las Pinas,2023,330.13,9.14,3610.45,12.72,11.92
Las Pinas,2024,268.7,7.44,3610.1,15.92,11.92
Las Pinas,2025,280.81,7.78,3608.03,18.17,11.92
Las Pinas,2026,257.2,7.12,3610.79,18.17,11.92
Makati,2019,188.51,10.45,1804.27,0.61,16.01
Makati,2020,212.21,11.76,1804.27,0.61,16.01
Makati,2021,218.18,12.09,1804.27,0.61,16.01
Makati,2022,230.12,12.76,1804.01,0.61,16.01
Makati,2023,236.61,13.11,1804.27,0.61,16.01
Makati,2024,207.45,11.5,1804.19,0.61,16.01
Makati,2025,230.29,12.78,1801.59,0.61,16.01
Makati,2026,220.43,12.22,1804.27,0.61,16.01
Malabon,2019,44.73,2.73,1636.27,0.26,7.24
Malabon,2020,58.65,3.58,1636.27,0.26,7.24
Malabon,2021,73.27,4.48,1636.27,0.26,7.24
Malabon,2022,54.07,3.3,1636.27,0.26,7.24
Malabon,2023,52.86,3.23,1636.27,0.69,7.24
Malabon,2024,52.6,3.21,1636.27,0.69,7.24
Malabon,2025,66.44,4.06,1636.1,0.69,7.24
Malabon,2026,41.35,2.53,1635.92,0.69,7.24
Mandaluyong,2019,108.92,9.63,1130.87,0.0,14.4
Mandaluyong,2020,134.18,11.86,1130.96,0.0,14.4
Mandaluyong,2021,130.46,11.54,1130.96,0.0,14.4
Mandaluyong,2022,133.31,11.79,1130.96,0.0,14.4
Mandaluyong,2023,134.35,11.88,1130.96,0.0,14.4
Mandaluyong,2024,118.69,10.5,1130.87,0.0,14.4
Mandaluyong,2025,142.48,12.61,1130.01,0.0,14.4
Mandaluyong,2026,117.14,10.36,1130.96,0.0,14.4
Manila,2019,119.73,1.14,10487.12,1.56,2.42
Manila,2020,154.42,1.47,10487.29,1.56,2.42
Manila,2021,157.62,1.5,10487.29,1.56,2.42
Manila,2022,159.96,1.53,10487.29,1.56,2.42
Manila,2023,162.64,1.55,10487.29,1.56,2.42
Manila,2024,137.9,1.31,10487.12,1.56,2.42
Manila,2025,170.34,1.62,10486.77,1.56,2.42
Manila,2026,143.69,1.37,10486.51,1.56,2.42
Marikina,2019,187.47,8.28,2263.91,2.6,17.1
Marikina,2020,229.34,10.13,2264.25,2.6,17.1
Marikina,2021,240.93,10.64,2264.25,2.6,17.1
Marikina,2022,235.74,10.41,2264.25,2.6,17.1
Marikina,2023,225.53,9.96,2264.25,2.6,17.1
Marikina,2024,233.93,10.33,2263.99,2.6,17.1
Marikina,2025,241.8,10.69,2262.78,2.6,17.1
Marikina,2026,180.29,7.96,2263.73,2.6,17.1
Muntinlupa,2019,344.66,5.21,6613.07,2.94,7.55
Muntinlupa,2020,343.54,5.19,6613.76,3.37,7.55
Muntinlupa,2021,375.8,5.68,6616.01,3.37,7.55
Muntinlupa,2022,394.14,5.96,6611.17,3.37,7.55
Muntinlupa,2023,408.5,6.18,6612.21,3.37,7.55
Muntinlupa,2024,348.9,5.28,6612.73,3.72,7.55
Muntinlupa,2025,366.11,5.54,6606.76,3.72,7.55
Muntinlupa,2026,334.62,5.06,6613.5,3.72,7.55
Navotas,2019,19.81,0.54,3655.87,0.26,0.92
Navotas,2020,19.72,0.54,3655.87,0.26,0.92
Navotas,2021,26.73,0.73,3655.87,0.26,0.92
Navotas,2022,20.94,0.57,3655.87,0.26,0.92
Navotas,2023,16.0,0.44,3655.87,8.48,0.92
Navotas,2024,11.77,0.32,3655.87,8.48,0.92
Navotas,2025,12.8,0.35,3655.87,8.48,0.92
Navotas,2026,10.81,0.3,3655.87,8.48,0.92
Paranaque,2019,317.32,5.33,5958.27,2.6,9.55
Paranaque,2020,367.24,6.16,5957.92,2.6,9.55
Paranaque,2021,364.64,6.12,5959.65,2.77,9.55
Paranaque,2022,396.13,6.65,5958.18,2.77,9.55
Paranaque,2023,442.42,7.43,5957.15,3.11,9.55
Paranaque,2024,328.4,5.51,5958.01,3.11,9.55
Paranaque,2025,395.36,6.64,5951.18,3.11,9.55
Paranaque,2026,373.12,6.26,5956.19,3.11,9.55
Pasay,2019,103.21,3.04,3390.28,1.12,5.07
Pasay,2020,120.16,3.55,3389.41,1.12,5.07
Pasay,2021,115.41,3.4,3390.28,1.47,5.07
Pasay,2022,122.33,3.61,3389.07,1.47,5.07
Pasay,2023,134.01,3.95,3390.28,1.47,5.07
Pasay,2024,116.27,3.43,3388.03,1.47,5.07
