rank,site_id,name,desig,iucn_cat,status,status_yr,rep_area_ha,area_ha,forest2000_ha,loss_ha,pct_of_forest2000,pct_of_pa
1,317297,Palawan Game Refuge and Bird Sanctuary (Proc 219),Game Refuge and Bird Sanctuary,Not Assigned,Designated,1967,1088181.0,1083022.5,864498.5,101355.0,11.72,9.359
2,555715015,Mt. Mantalingahan Protected Landscape,Protected Landscape,V,Designated,2009,121887.0,120963.7,114540.5,13110.6,11.45,10.838
3,555583093,"Sohoton Natural Bridge National Park, Jicontol Watershed Forest Reserve, Taft Forest Philippine Eagle Wildlife Sanctuary & Calbiga Caves Protected Landscape",Natural Park,II,Designated,2018,335106.0,334895.9,330867.8,8135.2,2.46,2.429
4,555583092,Quirino Protected Landscape,Protected Landscape,V,Designated,2005,183365.0,183446.4,161394.3,6093.4,3.78,3.322
5,14753,Malampaya Sound Protected Landscape,Protected Landscape,V,Designated,2000,201018.0,200376.5,74335.7,5121.2,6.89,2.556
6,555703872,Entire Province of Palawan (Proc 2152) Mangrove Swamp Forest Reserve,Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,55471.0,55173.5,48749.4,4308.2,8.84,7.809
7,555715047,Calavite & F.B. Harrison Game Refuge and Bird Sanctuary,Game Refuge and Bird Sanctuary,Not Assigned,Designated,1920,106479.0,106408.1,59796.6,3790.0,6.34,3.562
8,317296,Northern Sierra Madre Natural Park,Natural Park,II,Designated,2001,356969.0,357198.3,278280.2,3671.9,1.32,1.028
9,555583085,Lake Lanao Watershed Reservation,Watershed Reservation,Not Assigned,Designated,1992,171293.0,171333.5,111622.6,3148.6,2.82,1.838
10,555583103,"Unnamed National Park, Wildlife Sanctuary and Game Preserve (PP 1636)",Wildlife Sanctuary,Not Assigned,Designated,1977,115448.0,115456.1,104121.5,2788.9,2.68,2.416
11,145491,"Island of Siargao, Bucas Grande, Middle Bucas and East Bucas in Dinagat MSFR & Island of Siargao, Poneas, Dahican, Tona, Laonan Abanay and Bancuyo Wilderness Area",Protected Landscape and Seascape,V,Designated,2018,283975.0,283393.5,50198.0,2725.3,5.43,0.962
12,306533,Sebu Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1985,98534.0,98524.4,57274.4,2442.5,4.26,2.479
13,1337,Mts. Iglit-Baco Natural Park,Natural Park,II,Designated,2018,106656.0,106641.7,65585.8,2293.1,3.5,2.15
14,71275,El Nido Managed Resource Protected Area,Managed Resource Protected Area,IV,Designated,1998,91955.0,91667.8,35184.0,2218.7,6.31,2.42
15,7289,St. Paul Subterranean National Park,National Park,II,Designated,1999,21909.0,21818.1,20720.1,1753.3,8.46,8.036
16,306536,Libungan Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1990,52821.0,52823.4,28427.2,1392.9,4.9,2.637
17,71294,Peñablanca Protected Landscape,Protected Landscape and Seascape,V,Designated,2018,118654.0,118721.4,93935.9,1328.8,1.41,1.119
18,306453,Mt. Kanlaon National Park,Natural Park,II,Designated,2001,23560.0,23577.8,14950.8,1268.4,8.48,5.38
